#,Name,City,Category,TikTok Category,Rating,Review Count,District,Distance,Distance Unit,Landmark,Save Count,Source Screenshot
1,QUAN COM GA AHAI,Da Nang,Food & Drink,Restaurant,,,Hai Chau,2.8,km,My Khe Beach,3,IMG-20260716-WA0003.jpg
2,Nami Boutique Villa & Apartment,Da Nang,Accommodation,Apartment,4.8,171,Son Tra,2.1,km,My Khe Beach,Near attractions,IMG-20260716-WA0003.jpg
3,Sekong Hotel Da Nang Beach,Da Nang,Accommodation,Hotel,4.5,18,Son Tra,1.2,km,My Khe Beach,Near attractions,IMG-20260716-WA0003.jpg
4,Hilton Garden Inn Da Nang,Da Nang,Accommodation,Hotel,4.9,141,Son Tra,1.8,km,My Khe Beach,Near attractions,IMG-20260716-WA0003.jpg
5,Hội An Old Town,Hoi An,Shopping,Shopping,,,Hoi An,984,m,Precious Heritage Art Ga...,44,IMG-20260716-WA0003.jpg
6,Japanese Bridge,Hoi An,Attraction,Landmark,4.9,49,Hoi An,880,m,Precious Heritage Art Ga...,11,IMG-20260716-WA0003.jpg
7,Man Moi - Tao Đàn,Ho Chi Minh,Food & Drink,Vietnamese Restaurant,4.8,10,District 1,331,m,Saigon Opera House,17,IMG-20260716-WA0003.jpg
8,IconSphere Hotel 4,Ho Chi Minh,Accommodation,Hotel,,,District 1,779,m,Saigon Opera House,Near attractions,IMG-20260716-WA0004.jpg
9,Designer Coffee - Specialty Vietna... <7,Ho Chi Minh,Food & Drink,Coffee Shop,,,District 3,1.8,km,Vietnamese National...,,IMG-20260716-WA0004.jpg
10,Saigon Square 2 4,Ho Chi Minh,Attraction,Attraction,,,District 1,848,m,Saigon Opera House,15,IMG-20260716-WA0004.jpg
11,The Cafe Apartment kí,Ho Chi Minh,Food & Drink,Cafe,4.9,1.4K,District 1,287,m,Saigon Opera House,1.4K,IMG-20260716-WA0004.jpg
12,Tân Dinh Parish Church kí,Ho Chi Minh,Attraction,Church,5,1.8K,District 5,2.6,km,Vietnamese National...,600+,IMG-20260716-WA0004.jpg
13,Nguyen Hue Pedestrian Plaza 7,Ho Chi Minh,Attraction,Attraction,4.9,541,District 1,300,m,Saigon Opera House,,IMG-20260716-WA0004.jpg
14,Hoi An Roastery Espresso & Coffee... <7,Hoi An,Food & Drink,Coffee Shop,,,Hoi An,842,m,Precious Heritage Art Ga...,,IMG-20260716-WA0005.jpg
15,Phố Hội Lantern Workshop kí,Hoi An,General,Training School,,,Hoi An,295,m,Precious Heritage Art Ga...,1,IMG-20260716-WA0005.jpg
16,Lantern Making Class With Lynn - N...ƒ,Hoi An,Food & Drink,Bars and Clubs,,,Hoi An,1.1,km,Precious Heritage Art Gai...,,IMG-20260716-WA0005.jpg
17,Lantern Making Class With Lynn kí,Hoi An,Attraction,Attraction,,,Hoi An,1.6,km,Precious Heritage Art Ga...,,IMG-20260716-WA0005.jpg
18,Lantern Shop Hoa Mai 7,Hoi An,,,,,Hoi An,235,m,Precious Heritage Art Ga...,,IMG-20260716-WA0005.jpg
19,Vy's Market Restaurant kí,Hoi An,Food & Drink,Vietnamese Restaurant,,,Hoi An,864,m,Precious Heritage Art Ga...,1,IMG-20260716-WA0005.jpg
20,"Chill Corner, Tao Đàn - 32 Võ Văn T... <7",Ho Chi Minh,Food & Drink,Cafe,5,22,District 5,2.2,km,Vietnamese National...,4,IMG-20260716-WA0006.jpg
21,APEC WANDER HOTEL - District 1 kí,Ho Chi Minh,Accommodation,Hotel,,,District 1,2.8,km,Vietnamese National...,Near attractions,IMG-20260716-WA0006.jpg
22,Golden Star Hotel kí,Ho Chi Minh,Accommodation,Hotel,,,District 1,246,m,Saigon Opera House,,IMG-20260716-WA0006.jpg
23,Banh Mi Hong Hoa Bakery kí,Ho Chi Minh,Food & Drink,Banh Mi Restaurant,4.9,13,District 1,2.0,km,Vietnamese National...,100+,IMG-20260716-WA0006.jpg
24,Bép Chi Me kí,Ho Chi Minh,Food & Drink,Bakery Shop,,,Binh Chanh,,,Pham Van Hai,,IMG-20260716-WA0006.jpg
